,0x0,0xffffffff,0x7fffffff
PS_CubicBlur,0x9c916b27,0x636e94d8,0x636e94d8
amount,0x8ea17042,0x715e8fbd,0x715e8fbd
present_col,0xcb8e9fd3,0x3471602c,0x3471602c
cos_theta_pow,0x61e155b0,0x9e1eaa4f,0x1e1eaa4f
VS_CubicBlend,0x67ff4f3c,0x9800b0c3,0x1800b0c3
PS_CubicBlend,0xc71a90e1,0x38e56f1e,0x38e56f1e
col0,0xa4cd1feb,0x5b32e014,0x5b32e014
col1,0xd3ca2f7d,0x2c35d082,0x2c35d082
FDOFFilterDownScale,0x8d43b414,0x72bc4beb,0x72bc4beb
correctDepthSub,0xe8a9f08f,0x17560f70,0x17560f70
fDepth,0x922f8994,0x6dd0766b,0x6dd0766b
fD2,0xefd9b501,0x10264afe,0x10264afe
param_near,0xc44e2e26,0x3bb1d1d9,0x3bb1d1d9
param_far,0xcecf3bcf,0x3130c430,0x3130c430
FDOFFilterPoisson,0x32a35527,0xcd5caad8,0x4d5caad8
fZ,0xf9c06634,0x63f99cb,0x63f99cb
fBlur,0x4cc34aa1,0xb33cb55e,0x333cb55e
fDiscRadius,0xa1e47776,0x5e1b8889,0x5e1b8889
fDiscRadiusL,0x14afd248,0xeb502db7,0x6b502db7
vColSum,0xfe3bea35,0x1c415ca,0x1c415ca
vCoordL,0xcab15a42,0x354ea5bd,0x354ea5bd
vColL,0xccb8b0ac,0x33474f53,0x33474f53
fZL,0x8c25d6e5,0x73da291a,0x73da291a
fDepthL,0x5a989ae2,0xa567651d,0x2567651d
fBlurL,0xcf5b202,0xf30a4dfd,0x730a4dfd
tap,0x805a3244,0x7fa5cdbb,0x7fa5cdbb
FDOFFilterLight,0x50bbd8a6,0xaf442759,0x2f442759
FDOFFilterLight2,0x25300308,0xdacffcf7,0x5acffcf7
FGSDOFCopy,0x44410ae0,0xbbbef51f,0x3bbef51f
df,0xe4997831,0x1b6687ce,0x1b6687ce
colortemp,0x969d69bf,0x69629640,0x69629640
VS_GSDOFFilter,0xc43f6f88,0x3bc09077,0x3bc09077
GS_GSDOFFilter,0x3f82b292,0xc07d4d6d,0x407d4d6d
so,0x98c64403,0x6739bbfc,0x6739bbfc
PS_GSDOFFilter,0x3cfd243e,0xc302dbc1,0x4302dbc1
FSSAOFilterDepthDownScale,0xb36ec729,0x4c9138d6,0x4c9138d6
FSSAOFilterLinearDepthDownScale,0xb46271d2,0x4b9d8e2d,0x4b9d8e2d
FSSAOFilterMakeLinearDepth,0x5d1a3dcf,0xa2e5c230,0x22e5c230
VS_SSAOMakeNormal,0xfda84863,0x257b79c,0x257b79c
PS_SSAOMakeNormal,0x5a9cff6b,0xa5630094,0x25630094
center_depth,0x455eda7c,0xbaa12583,0x3aa12583
delta_depth,0xc29160bf,0x3d6e9f40,0x3d6e9f40
abs_depth,0x2306bd6f,0xdcf94290,0x5cf94290
ajs_depth,0xf0e3a6da,0xf1c5925,0xf1c5925
center_pos,0x25355853,0xdacaa7ac,0x5acaa7ac
