,0x0,0xffffffff,0x7fffffff
fSwingChildQuantScale,0x5cb1492,0xfa34eb6d,0x7a34eb6d
fSwingChildQuantOffset,0xad37f2b0,0x52c80d4f,0x52c80d4f
fSwingParentQuantScale,0x9e2f14da,0x61d0eb25,0x61d0eb25
fSwingParentQuantOffset,0xd5abdf12,0x2a5420ed,0x2a5420ed
CBQuantCompress,0xe22cb86b,0x1dd34794,0x1dd34794
fCompressScale,0x6fe1e02b,0x901e1fd4,0x101e1fd4
fCompressOffset,0x1fe0d36c,0xe01f2c93,0x601f2c93
fDecompressScale,0xb7a946ea,0x4856b915,0x4856b915
fDecompressOffset,0xf35b69ec,0xca49613,0xca49613
CBSwingBillboard,0x36b067e,0xfc94f981,0x7c94f981
fSwingViewInverse,0x1186b026,0xee794fd9,0x6e794fd9
fSwingConstraint,0x325a31b7,0xcda5ce48,0x4da5ce48
CBInstanceMatrix,0xec967ba3,0x1369845c,0x1369845c
CBInstanceID,0xacd52266,0x532add99,0x532add99
InstanceIndex,0x87e32320,0x781cdcdf,0x781cdcdf
CBInstanceShadowCasterCache,0x99d06d7b,0x662f9284,0x662f9284
fPointShadowPosition,0x5e8ad0ec,0xa1752f13,0x21752f13
fPointShadowRadius,0x4919e581,0xb6e61a7e,0x36e61a7e
bPointShadowCacheFlush,0x7951236c,0x86aedc93,0x6aedc93
bPointShadowCacheUse,0x38abf5d0,0xc7540a2f,0x47540a2f
CBLatticeDeform,0x48e64cea,0xb719b315,0x3719b315
fSbNullWorldMatrix,0xc0490c2c,0x3fb6f3d3,0x3fb6f3d3
fLdScale,0x88cdd989,0x77322676,0x77322676
fLdTexW,0x79b81bac,0x8647e453,0x647e453
fLdTexH,0xf4b01659,0xb4fe9a6,0xb4fe9a6
CBMorph,0x521a4cf2,0xade5b30d,0x2de5b30d
fMorphWeights,0x85902f25,0x7a6fd0da,0x7a6fd0da
SSWrapOneLinear,0x6eb280f3,0x914d7f0c,0x114d7f0c
CBVertexDisplacement,0x261eabe6,0xd9e15419,0x59e15419
fVtxDispStart,0xdba3fb8a,0x245c0475,0x245c0475
fVtxDispScale,0xa89c8b81,0x5763747e,0x5763747e
fVtxDispInvArea,0xddd5de37,0x222a21c8,0x222a21c8
fVtxDispRCN,0xdaecbc90,0x2513436f,0x2513436f
fVtxDispTiltU,0xd91b8c53,0x26e473ac,0x26e473ac
fVtxDispTiltV,0x4012dde9,0xbfed2216,0x3fed2216
SasUiSteps,0xb5b91c40,0x4a46e3bf,0x4a46e3bf
波形テクスチャのスクロール開始点,0xb04c2b7e,0x4fb3d481,0x4fb3d481
sasuidescription,0x639d2cef,0x9c62d310,0x1c62d310
波形スケール（押し出し量）,0x4e326f19,0xb1cd90e6,0x31cd90e6
波形テクスチャ繰り返し数,0xb1b3d406,0x4e4c2bf9,0x4e4c2bf9
法線修正方向の反転,0xcbe5f0cc,0x341a0f33,0x341a0f33
押し出し方向（法線）を傾ける（U）,0x42e365bd,0xbd1c9a42,0x3d1c9a42
押し出し方向（法線）を傾ける（V）,0x5056ca53,0xafa935ac,0x2fa935ac
CBVertexDisplacement2,0x539ae7eb,0xac651814,0x2c651814
fVtxDispStart2,0x176377c8,0xe89c8837,0x689c8837
fVtxDispScale2,0x80c29130,0x7f3d6ecf,0x7f3d6ecf
fVtxDispInvArea2,0xa2b5cedc,0x5d4a3123,0x5d4a3123
fVtxDispRCN2,0xea00c1f5,0x15ff3e0a,0x15ff3e0a
CBVertexDisplacement3,0x249dd77d,0xdb622882,0x5b622882
fVtxDispDirection,0xd014f9f7,0x2feb0608,0x2feb0608
押し出し方向,0xce3a4927,0x31c5b6d8,0x31c5b6d8
CBVertexDisplacementWave,0x5a4314f0,0xa5bceb0f,0x25bceb0f
fVtxDispNWStart0,0x29554e8b,0xd6aab174,0x56aab174
fVtxDispNWStart1,0x5e527e1d,0xa1ad81e2,0x21ad81e2
fVtxDispNWStart2,0xc75b2fa7,0x38a4d058,0x38a4d058
fVtxDispNWStart3,0xb05c1f31,0x4fa3e0ce,0x4fa3e0ce
fVtxDispNWStart4,0x2e388a92,0xd1c7756d,0x51c7756d
fVtxDispNWStart5,0x593fba04,0xa6c045fb,0x26c045fb
fVtxDispNWStart6,0xc036ebbe,0x3fc91441,0x3fc91441
fVtxDispNWStart7,0xb731db28,0x48ce24d7,0x48ce24d7
fVtxDispNWRad0,0x76780a42,0x8987f5bd,0x987f5bd
fVtxDispNWRad1,0x17f3ad4,0xfe80c52b,0x7e80c52b
fVtxDispNWRad2,0x98766b6e,0x67899491,0x67899491
fVtxDispNWRad3,0xef715bf8,0x108ea407,0x108ea407
fVtxDispNWRad4,0x7115ce5b,0x8eea31a4,0xeea31a4
fVtxDispNWRad5,0x612fecd,0xf9ed0132,0x79ed0132
fVtxDispNWRad6,0x9f1baf77,0x60e45088,0x60e45088
fVtxDispNWRad7,0xe81c9fe1,0x17e3601e,0x17e3601e
fVtxDispWUV0,0xa9601770,0x569fe88f,0x569fe88f
fVtxDispWUV1,0xde6727e6,0x2198d819,0x2198d819
fVtxDispWUV2,0x476e765c,0xb89189a3,0x389189a3
fVtxDispWUV3,0x306946ca,0xcf96b935,0x4f96b935
fVtxDispWUV4,0xae0dd369,0x51f22c96,0x51f22c96
fVtxDispWUV5,0xd90ae3ff,0x26f51c00,0x26f51c00
fVtxDispWUV6,0x4003b245,0xbffc4dba,0x3ffc4dba
fVtxDispWUV7,0x370482d3,0xc8fb7d2c,0x48fb7d2c
fVtxDispWRad0,0xc6539df6,0x39ac6209,0x39ac6209
fVtxDispWRad1,0xb154ad60,0x4eab529f,0x4eab529f
fVtxDispWRad2,0x285dfcda,0xd7a20325,0x57a20325
fVtxDispWRad3,0x5f5acc4c,0xa0a533b3,0x20a533b3
fVtxDispWRad4,0xc13e59ef,0x3ec1a610,0x3ec1a610
fVtxDispWRad5,0xb6396979,0x49c69686,0x49c69686
fVtxDispWRad6,0x2f3038c3,0xd0cfc73c,0x50cfc73c
fVtxDispWRad7,0x58370855,0xa7c8f7aa,0x27c8f7aa
fVtxDispWRndRad,0x72bb0a56,0x8d44f5a9,0xd44f5a9
fVtxDispWAnimLength,0x6a31a003,0x95ce5ffc,0x15ce5ffc
ランダム発生波の開始時間,0x28330785,0xd7ccf87a,0x57ccf87a
ランダム発生波の半径,0xfafa00d4,0x505ff2b,0x505ff2b
波の位置(UV),0xec72a13b,0x138d5ec4,0x138d5ec4
波の位置のゆらぎ幅（半径）,0x6c9f0f0b,0x9360f0f4,0x1360f0f4
波形アニメーションの長さに一致させる,0xd389fafc,0x2c760503,0x2c760503
CBVertexDisplacementExplosion,0xab79e1bc,0x54861e43,0x54861e43
fVtxDispExScale0,0xda6bfd50,0x259402af,0x259402af
fVtxDispExScale1,0xad6ccdc6,0x52933239,0x52933239
fVtxDispExScale2,0x34659c7c,0xcb9a6383,0x4b9a6383
fVtxDispExScale3,0x4362acea,0xbc9d5315,0x3c9d5315
fVtxDispExScale4,0xdd063949,0x22f9c6b6,0x22f9c6b6
fVtxDispExScale5,0xaa0109df,0x55fef620,0x55fef620
fVtxDispExScale6,0x33085865,0xccf7a79a,0x4cf7a79a
fVtxDispExScale7,0x440f68f3,0xbbf0970c,0x3bf0970c
fVtxDispExRadius,0xfff54d37,0xab2c8,0xab2c8
fVtxDispExRotX,0x5c1b9465,0xa3e46b9a,0x23e46b9a
fVtxDispExRotY,0x2b1ca4f3,0xd4e35b0c,0x54e35b0c
fVtxDispExRotZ,0xb215f549,0x4dea0ab6,0x4dea0ab6
fVtxDispExRotOriginX,0x204b029c,0xdfb4fd63,0x5fb4fd63
fVtxDispExRotOriginY,0x574c320a,0xa8b3cdf5,0x28b3cdf5
fVtxDispExRotOriginZ,0xce4563b0,0x31ba9c4f,0x31ba9c4f
エクスプロージョン押し出し量0,0x5b95a440,0xa46a5bbf,0x246a5bbf
エクスプロージョン押し出し量1,0x2c9294d6,0xd36d6b29,0x536d6b29
エクスプロージョン押し出し量2,0xb59bc56c,0x4a643a93,0x4a643a93
エクスプロージョン押し出し量3,0xc29cf5fa,0x3d630a05,0x3d630a05
エクスプロージョン押し出し量4,0x5cf86059,0xa3079fa6,0x23079fa6
エクスプロージョン押し出し量5,0x2bff50cf,0xd400af30,0x5400af30
エクスプロージョン押し出し量6,0xb2f60175,0x4d09fe8a,0x4d09fe8a
エクスプロージョン押し出し量7,0xc5f131e3,0x3a0ece1c,0x3a0ece1c
押し出し方向の傾き幅,0x9e34847f,0x61cb7b80,0x61cb7b80
ローカルX軸回転(ZXY),0x125e02e,0xfeda1fd1,0x7eda1fd1
ローカルY軸回転(ZXY),0xb8de3bc6,0x4721c439,0x4721c439
ローカルZ軸回転(ZXY),0xa9a351bf,0x565cae40,0x565cae40
ローカル回転中心座標X,0x97288913,0x68d776ec,0x68d776ec
ローカル回転中心座標Y,0xe02fb985,0x1fd0467a,0x1fd0467a
ローカル回転中心座標Z,0x7926e83f,0x86d917c0,0x6d917c0
CBVertexDisplacementRandUV,0xced9a458,0x31265ba7,0x31265ba7
fVtxDispRandUV0,0x5b2373ae,0xa4dc8c51,0x24dc8c51
fVtxDispRandUV1,0x2c244338,0xd3dbbcc7,0x53dbbcc7
fVtxDispRandUV2,0xb52d1282,0x4ad2ed7d,0x4ad2ed7d
fVtxDispRandUV3,0xc22a2214,0x3dd5ddeb,0x3dd5ddeb
fVtxDispRandUV4,0x5c4eb7b7,0xa3b14848,0x23b14848
fVtxDispRandUV5,0x2b498721,0xd4b678de,0x54b678de
fVtxDispRandUV6,0xb240d69b,0x4dbf2964,0x4dbf2964
fVtxDispRandUV7,0xc547e60d,0x3ab819f2,0x3ab819f2
SasUiVisible,0x631488e2,0x9ceb771d,0x1ceb771d
CBVertexDisplacementExplosionQuant,0xd794e666,0x286b1999,0x286b1999
fVtxDispExpQpo,0xa4045b41,0x5bfba4be,0x5bfba4be
fVtxDispExpQps,0xb005070e,0x4ffaf8f1,0x4ffaf8f1
fVtxDispNullMatrix,0x62c077b1,0x9d3f884e,0x1d3f884e
fVtxDispNullMatrixInv,0xfd9444b9,0x26bbb46,0x26bbb46
CBVertexDispMaskUV,0x1739e391,0xe8c61c6e,0x68c61c6e
fVertexDispMaskUV,0xb46d6556,0x4b929aa9,0x4b929aa9
CBVertexDispUV,0xb35cdac0,0x4ca3253f,0x4ca3253f
fVertexDispUV,0x238c16cc,0xdc73e933,0x5c73e933
CBVertexDisplacementDirExplosion,0x3982919f,0xc67d6e60,0x467d6e60
fVtxDispExpDirection,0x85235b4c,0x7adca4b3,0x7adca4b3
fVtxDispExpTangent,0x34fb61b4,0xcb049e4b,0x4b049e4b
fVtxDispExpTiltPattern,0xf5e764b4,0xa189b4b,0xa189b4b
CBDebugView,0xb6485404,0x49b7abfb,0x49b7abfb
iDebugView,0xc6520a57,0x39adf5a8,0x39adf5a8
CBMotionBlur,0x2f951c8a,0xd06ae375,0x506ae375
fVelocityDepthScale,0x58bd7184,0xa7428e7b,0x27428e7b
fVelocityDepthBias,0xb26d5da7,0x4d92a258,0x4d92a258
fVelocityLimite,0x1af59386,0xe50a6c79,0x650a6c79
fVelocityScale,0xb3fd46b3,0x4c02b94c,0x4c02b94c
fVelocityViewProjPF,0x1bfe2d37,0xe401d2c8,0x6401d2c8
CBMaterialVelocity,0xc7922979,0x386dd686,0x386dd686
fMaterialVelocityTick,0x4e6bc18f,0xb1943e70,0x31943e70
BSOutlineModulate,0xd7b27b94,0x284d846b,0x284d846b
BSOutlineBlend,0xad312bb6,0x52ced449,0x52ced449
CBOutlineFilter,0x2a334bf6,0xd5ccb409,0x55ccb409
sOutlineDetector,0xdcc1a1de,0x233e5e21,0x233e5e21
fOutlineThreshold,0xe0ee23af,0x1f11dc50,0x1f11dc50
fOutlineColor0,0x71ba5bb9,0x8e45a446,0xe45a446
fOutlineColor1,0x6bd6b2f,0xf94294d0,0x794294d0
fOutlineColor2,0x9fb43a95,0x604bc56a,0x604bc56a
fOutlineColor3,0xe8b30a03,0x174cf5fc,0x174cf5fc
fOutlineFadeStart,0x61ff3e15,0x9e00c1ea,0x1e00c1ea
fOutlineFadeInvRange,0x4a46966c,0xb5b96993,0x35b96993
fOutlineFadeLimite,0xb23371db,0x4dcc8e24,0x4dcc8e24
fOutlineThick,0x85b6165e,0x7a49e9a1,0x7a49e9a1
bOutlineIDTest,0x2f3e0881,0xd0c1f77e,0x50c1f77e
bOutlineDirect,0x656a1259,0x9a95eda6,0x1a95eda6
CBOutlineMask,0x2fab3a63,0xd054c59c,0x5054c59c
fOutlineChannelMask,0xb8cb9cba,0x47346345,0x47346345
fOutlineGeometryMask,0x4a5bb51d,0xb5a44ae2,0x35a44ae2
DSOutlineZTestStencilTest,0x3cf12493,0xc30edb6c,0x430edb6c
DSOutlineZTestWriteStencilTest,0x42bb9d42,0xbd4462bd,0x3d4462bd
CBShadowLight,0xe89ed314,0x17612ceb,0x17612ceb
CBShadowType,0xdbd4733e,0x242b8cc1,0x242b8cc1
iShadowType,0x29c6692e,0xd63996d1,0x563996d1
iShadowCascadeNum,0xfb646e92,0x49b916d,0x49b916d
CBMultiShadow,0x91ac4ae8,0x6e53b517,0x6e53b517
bShadowUseMulti,0x8f28163d,0x70d7e9c2,0x70d7e9c2
CBShadowReceiverMode,0x55acc9a8,0xaa533657,0x2a533657
bDeferredShadowReceive,0x147c06b4,0xeb83f94b,0x6b83f94b
CBShadowCasterRasterizerState,0x3645e29b,0xc9ba1d64,0x49ba1d64
iShadowCasterRasterizerState,0x57164980,0xa8e9b67f,0x28e9b67f
CBShadowCast,0x45b29de1,0xba4d621e,0x3a4d621e
fShadowDepthBias,0x849e5d0c,0x7b61a2f3,0x7b61a2f3
fShadowSlopeScaledDepthBias,0x20be06ce,0xdf41f931,0x5f41f931
fShadowAlphaThreshold,0xd92d0821,0x26d2f7de,0x26d2f7de
CBShadowCastOption,0x688ee73a,0x977118c5,0x177118c5
fShadowDepthBiasTextureScale,0x53dac3ea,0xac253c15,0x2c253c15
CBShadowFrustum,0x41bf8766,0xbe407899,0x3e407899
fShadowFrustum,0x48991b81,0xb766e47e,0x3766e47e
CBShadowReceive,0x67278c2b,0x98d873d4,0x18d873d4
sShadowReceiveParam,0xceb39b66,0x314c6499,0x314c6499
SSShadowDepth,0x5a9d94c3,0xa5626b3c,0x25626b3c
SSShadowDepthComp,0xba8bdd7d,0x45742282,0x45742282
SSShadowVariance,0xa41bb5d8,0x5be44a27,0x5be44a27
SSShadowVariance0,0x7c779e72,0x8388618d,0x388618d
SSShadowVariance1,0xb70aee4,0xf48f511b,0x748f511b
SSShadowVariance2,0x9279ff5e,0x6d8600a1,0x6d8600a1
SSShadowVariance3,0xe57ecfc8,0x1a813037,0x1a813037
SSShadowVarianceMIP0,0xf3eb85ad,0xc147a52,0xc147a52
BSShadowRecvSolidGroup0,0x454f152d,0xbab0ead2,0x3ab0ead2
BSShadowRecvSolidGroup1,0x324825bb,0xcdb7da44,0x4db7da44
BSShadowRecvTransparentGroup0,0xd1081aef,0x2ef7e510,0x2ef7e510
BSShadowRecvTransparentGroup1,0xa60f2a79,0x59f0d586,0x59f0d586
BSShadowRecvMultiSolidGroup0,0x6ebb091,0xf9144f6e,0x79144f6e
BSShadowRecvMultiSolidGroup1,0x71ec8007,0x8e137ff8,0xe137ff8
BSShadowRecvMultiTransparentGroup0,0xb41264cc,0x4bed9b33,0x4bed9b33
BSShadowRecvMultiTransparentGroup1,0xc315545a,0x3ceaaba5,0x3ceaaba5
BSShadowRecvZPass,0x30c3c318,0xcf3c3ce7,0x4f3c3ce7
CBDualParaboloid,0x3cfa6d83,0xc305927c,0x4305927c
fParaboloidFactor,0x528992f6,0xad766d09,0x2d766d09
DSDeferredLightingZWriteStencilTestRouted,0xccccd77e,0x33332881,0x33332881
DSDeferredLightingZTestStencilWriteDepthFail,0x139dac01,0xec6253fe,0x6c6253fe
DSDeferredLightingZTestStencilWriteDepthPass,0x5bca536c,0xa435ac93,0x2435ac93
DSDeferredLightingZTestStencilTest,0xd7ae3ae0,0x2851c51f,0x2851c51f
DSDeferredLightingStencilTest,0x1ae31235,0xe51cedca,0x651cedca
BSAccumulateColorAlphaMRT2,0xf0b4e0e8,0xf4b1f17,0xf4b1f17
BSMultiplyColorAlpha,0x6bcc17ed,0x9433e812,0x1433e812
BSMultiplyColorAlphaMRT2,0xb1516070,0x4eae9f8f,0x4eae9f8f
CBLightVolume,0xe14fc0a,0xf1eb03f5,0x71eb03f5
fLightVolumeAttenuation,0xd8c4426d,0x273bbd92,0x273bbd92
fLightVolumeDepthBound,0x22a416d6,0xdd5be929,0x5d5be929
fDeferredLightingLogRangeCoeffEnc,0xa1a86517,0x5e579ae8,0x5e579ae8
CBAmbientMask,0x44be31a0,0xbb41ce5f,0x3b41ce5f
fAmbientMask,0x2b6facaf,0xd4905350,0x54905350
BSAmbientMaskGroup0,0x164daa0,0xfe9b255f,0x7e9b255f
BSAmbientMaskGroup1,0x7663ea36,0x899c15c9,0x99c15c9
BSAmbientMaskGroup2,0xef6abb8c,0x10954473,0x10954473
BSAmbientMaskGroup3,0x986d8b1a,0x679274e5,0x679274e5
BSAmbientMaskAlphaGroup0,0x8039ac91,0x7fc6536e,0x7fc6536e
BSAmbientMaskAlphaGroup1,0xf73e9c07,0x8c163f8,0x8c163f8
BSAmbientMaskAlphaGroup2,0x6e37cdbd,0x91c83242,0x11c83242
CBRSMIndirectLighting,0x430defed,0xbcf21012,0x3cf21012
fWorldToRSM,0x62e784d9,0x9d187b26,0x1d187b26
fRSMToWorld,0x84eca81c,0x7b1357e3,0x7b1357e3
fRSMSize,0x9b233c22,0x64dcc3dd,0x64dcc3dd
fRSMLightColor,0x7d7c47a0,0x8283b85f,0x283b85f
fRSMGatherSize,0x90eb8eae,0x6f147151,0x6f147151
fRSMGatherStep,0x249254f8,0xdb6dab07,0x5b6dab07
fRSMViewRange,0x6e1befa0,0x91e4105f,0x11e4105f
fRSMDistanceBias,0x72f9655b,0x8d069aa4,0xd069aa4
fRSMLightingIntensity,0x4660a2e2,0xb99f5d1d,0x399f5d1d
fRSMBlurFactorDepth,0xa39cc25e,0x5c633da1,0x5c633da1
fRSMBlurFactorNormal,0x9961f235,0x669e0dca,0x669e0dca
fRSMUpsamplingFactorDepth,0xd57d32be,0x2a82cd41,0x2a82cd41
fRSMUpsamplingFactorNormal,0x391df1bd,0xc6e20e42,0x46e20e42
fRSMUpsamplingSize,0x3ebb0051,0xc144ffae,0x4144ffae
CBAdhesion,0x3f3be431,0xc0c41bce,0x40c41bce
fAdhesionProjection,0x295eac4f,0xd6a153b0,0x56a153b0
fAdhesionDir,0x4387f1ab,0xbc780e54,0x3c780e54
fAdhesionColor,0x1b0d9c1e,0xe4f263e1,0x64f263e1
fAdhesionTangent,0xfe591704,0x1a6e8fb,0x1a6e8fb
fAdhesionBinormal,0xd0e35591,0x2f1caa6e,0x2f1caa6e
fAdhesionUVScale,0xc80d2a69,0x37f2d596,0x37f2d596
fAdhesionUVOffset,0x87951f1a,0x786ae0e5,0x786ae0e5
CBMaterialSSS,0x497682ce,0xb6897d31,0x36897d31
fSSSDistortionScale,0x1f4c07de,0xe0b3f821,0x60b3f821
fSSSBlurWidth,0x5d9b1d96,0xa264e269,0x2264e269
fSSSAlbedoMix,0xce112dad,0x31eed252,0x31eed252
fSSSLayerNum,0xb06f9816,0x4f9067e9,0x4f9067e9
fSSSMapSize,0x78a3258b,0x875cda74,0x75cda74
CBMaterialSSSBlend,0xaee9688,0xf5116977,0x75116977
fSSSDiffuseBlend0,0xa2b8b55c,0x5d474aa3,0x5d474aa3
fSSSDiffuseBlend1,0xd5bf85ca,0x2a407a35,0x2a407a35
fSSSDiffuseBlend2,0x4cb6d470,0xb3492b8f,0x33492b8f
fSSSDiffuseBlend3,0x3bb1e4e6,0xc44e1b19,0x444e1b19
fSSSDiffuseBlend4,0xa5d57145,0x5a2a8eba,0x5a2a8eba
fSSSDiffuseBlend5,0xd2d241d3,0x2d2dbe2c,0x2d2dbe2c
CBTessellation,0x1f51f04e,0xe0ae0fb1,0x60ae0fb1
fTessellationFactor,0x73599a35,0x8ca665ca,0xca665ca
fTessellationAdjust,0xd562f828,0x2a9d07d7,0x2a9d07d7
fPhongTessFactor,0x247b1f54,0xdb84e0ab,0x5b84e0ab
SSDisplacementMap,0xcd23d582,0x32dc2a7d,0x32dc2a7d
CBDisplacement,0x9ae2f404,0x651d0bfb,0x651d0bfb
fDisplacementFactor,0xc0232de0,0x3fdcd21f,0x3fdcd21f
CBShadowReceive0,0x580001ed,0xa7fffe12,0x27fffe12
sShadowReceiveParam0,0x50c4a8d7,0xaf3b5728,0x2f3b5728
CBShadowReceive1,0x2f07317b,0xd0f8ce84,0x50f8ce84
sShadowReceiveParam1,0x27c39841,0xd83c67be,0x583c67be
CBShadowReceive2,0xb60e60c1,0x49f19f3e,0x49f19f3e
sShadowReceiveParam2,0xbecac9fb,0x41353604,0x41353604
CBShadowReceive3,0xc1095057,0x3ef6afa8,0x3ef6afa8
sShadowReceiveParam3,0xc9cdf96d,0x36320692,0x36320692
CBBilateralFilter,0x37389d39,0xc8c762c6,0x48c762c6
fIntensityDispersion,0x8b1316d6,0x74ece929,0x74ece929
CBPrimitiveDebug,0xa9b6aef0,0x5649510f,0x5649510f
fPrimDebugParam,0x7fdcbd0b,0x802342f4,0x2342f4
CBPrimitiveView,0x572f4236,0xa8d0bdc9,0x28d0bdc9
fPrimInvViewportSize,0x43f1f22b,0xbc0e0dd4,0x3c0e0dd4
fPrimSceneUVClamp,0xa584b9aa,0x5a7b4655,0x5a7b4655
fPrimSceneClampRange,0x2e84c6bb,0xd17b3944,0x517b3944
fPrimInvVScreen,0xd119ea61,0x2ee6159e,0x2ee6159e
CBPrimitiveCoord,0xaabbc6aa,0x55443955,0x55443955
fPrimInvTextureSize,0xc16f0477,0x3e90fb88,0x3e90fb88
CBPrimitiveEx,0x2b607f84,0xd49f807b,0x549f807b
fPrimDepthBlend,0x19043f9d,0xe6fbc062,0x66fbc062
fPrimVolumeScale,0x8b956a33,0x746a95cc,0x746a95cc
fPrimParallaxFactor,0x16ade05d,0xe9521fa2,0x69521fa2
fPrimParallaxFade,0xe17d20b,0xf1e82df4,0x71e82df4
fPrimIntensityScale,0x59cae57b,0xa6351a84,0x26351a84
fPrimRefractZBias,0x64786dbf,0x9b879240,0x1b879240
fPrimRefractZBlur,0x3b1a4897,0xc4e5b768,0x44e5b768
fPrimAlphaClipper,0xebea730d,0x14158cf2,0x14158cf2
fPrimDepthLimit,0xcd0fa6d5,0x32f0592a,0x32f0592a
CBPrimitiveTessellationCmn,0x15a79e7c,0xea586183,0x6a586183
fPrimTessellationMinMax,0x1edafd67,0xe1250298,0x61250298
CBPrimitiveMetaDataFresnel,0xb77fb7fe,0x48804801,0x48804801
fPrimFresnelFactor,0x6118b384,0x9ee74c7b,0x1ee74c7b
CBPrimitiveMetaDataUvClamp,0xeba77fac,0x14588053,0x14588053
fPrimUVClamp,0x814c878a,0x7eb37875,0x7eb37875
CBPrimitiveMetaDataShade,0x5b258d7d,0xa4da7282,0x24da7282
fPrimLightEntity,0x56a56688,0xa95a9977,0x295a9977
fPrimLightColor,0x8338b9d4,0x7cc7462b,0x7cc7462b
CBPrimitiveMetaDataOcclusion,0x3fe71a0a,0xc018e5f5,0x4018e5f5
fPrimOcclusionSphere,0xb7ecf7c2,0x4813083d,0x4813083d
CBPrimitiveMetaDataLvCorrection,0x8c370723,0x73c8f8dc,0x73c8f8dc
fPrimLvCorrColorConst,0x837b4957,0x7c84b6a8,0x7c84b6a8
fPrimLvCorrValue,0xd2309f7b,0x2dcf6084,0x2dcf6084
CBPrimitiveMetaDataLensFlare,0xdb049f75,0x24fb608a,0x24fb608a
fPrimLensFlareOccSphere,0x9af41b34,0x650be4cb,0x650be4cb
fPrimLensFlareSclLimit,0x123c54e7,0xedc3ab18,0x6dc3ab18
fPrimLensFlareRadDist,0x2deb5d9c,0xd214a263,0x5214a263
fPrimLensFlareIntMin,0x315704ed,0xcea8fb12,0x4ea8fb12
fPrimLensFlareIntMax,0xd5a3bb4,0xf2a5c44b,0x72a5c44b
CBCloudMetaData,0x202c27cc,0xdfd3d833,0x5fd3d833
fPrimCloudSunDir,0xbdfcd3ef,0x42032c10,0x42032c10
fPrimCloudHRange,0xd7e5a98a,0x281a5675,0x281a5675
fPrimCloudHColor0,0x2f42224c,0xd0bdddb3,0x50bdddb3
fPrimCloudHColor1,0x584512da,0xa7baed25,0x27baed25
fPrimCloudDirColorMin,0xa9b3bf0f,0x564c40f0,0x564c40f0
fPrimCloudDirColorMed,0xe5d3191d,0x1a2ce6e2,0x1a2ce6e2
fPrimCloudDirColorMax,0x95be8056,0x6a417fa9,0x6a417fa9
CBPrimitiveModel,0x12869b8e,0xed796471,0x6d796471
fPrimModelAlpha,0xa98b3c36,0x5674c3c9,0x5674c3c9
CBPrimitiveModelDistortion,0xfa7e8c80,0x581737f,0x581737f
fPrimModelRange,0xeaec5f15,0x1513a0ea,0x1513a0ea
CBPrimitiveTessellation,0xfced0cc1,0x312f33e,0x312f33e
fPrimTessellationGenPos,0x671ef725,0x98e108da,0x18e108da
fPrimTessellationFactor,0xe3eb8437,0x1c147bc8,0x1c147bc8
fPrimDetailTessellationHScale,0x99cdd03c,0x66322fc3,0x66322fc3
CBPrimitiveParallaxTess,0xc0bedf2d,0x3f4120d2,0x3f4120d2
fPrimDepthMaskValue,0x27079aeb,0xd8f86514,0x58f86514
fPrimCenterValue,0x7d47bb9f,0x82b84460,0x2b84460
CBPrimitiveParticleTess,0xbcafe673,0x4350198c,0x4350198c
fPrimDisplaceRatio,0x75a21a39,0x8a5de5c6,0xa5de5c6
fPrimSurfaceNormal,0xba11d347,0x45ee2cb8,0x45ee2cb8
SSPrimOcclusionMap,0x845ebb04,0x7ba144fb,0x7ba144fb
DSPrimStencilTestEQ,0xfb5a765f,0x4a589a0,0x4a589a0
DSPrimStencilTestNEQ,0x17baa048,0xe8455fb7,0x68455fb7
DSPrimZTestStencilTestEQ,0x44878b19,0xbb7874e6,0x3b7874e6
DSPrimZTestStencilTestNEQ,0x88ba9910,0x774566ef,0x774566ef
DSPrimZWriteStencilTestEQ,0x49ff4b24,0xb600b4db,0x3600b4db
DSPrimZWriteStencilTestNEQ,0xd0dfadc1,0x2f20523e,0x2f20523e
DSPrimZTestWriteStencilTestEQ,0xbc96b74f,0x436948b0,0x436948b0
DSPrimZTestWriteStencilTestNEQ,0xa4a7ced,0xf5b58312,0x75b58312
CBPrimEflEmu,0x4ef27614,0xb10d89eb,0x310d89eb
fPrimColor,0x68a54e98,0x975ab167,0x175ab167
CBRadialBlurFilter,0x898d103f,0x7672efc0,0x7672efc0
fRadialBlurCenter,0x15ed22c1,0xea12dd3e,0x6a12dd3e
fRadialBlurStart,0x87969f38,0x786960c7,0x786960c7
fRadialBlurWidth,0x94f58f98,0x6b0a7067,0x6b0a7067
fRadialBlurColor,0x7eb9825e,0x81467da1,0x1467da1
fRadialBlurThrethold,0x8f4de446,0x70b21bb9,0x70b21bb9
fRadialBlurWidthScale,0xdfe93e19,0x2016c1e6,0x2016c1e6
fRadialBlurWidthOffset,0xd7878a32,0x287875cd,0x287875cd
SSRadialFilterClampLinear,0x81e0ebb5,0x7e1f144a,0x7e1f144a
CBTVNoiseFilter,0xd01ed7e6,0x2fe12819,0x2fe12819
fTVNoisePower,0xebc97a05,0x143685fa,0x143685fa
fTVNoiseUVOffset,0xd25edd89,0x2da12276,0x2da12276
fTVNoiseScanline,0x14f44e87,0xeb0bb178,0x6b0bb178
fTVNoiseHVSync,0xe99787bb,0x16687844,0x16687844
